,Q,A
1044,(M/4) + (N/4) = (M + N)/8,
1045,18st data,
1046,1_th_sampling,
1047,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
1048,A, Let's think step by step. 
1049,There are a total of 250 files. ,
1050,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
1051,This means that the number of files that are infected only by a worm is 125. ,
1052,125 + 125 = 250 ,
1053,This means that all of Sam's files are infected by either a virus or a worm or both. ,
1054,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
1055,125 files are infected by both a virus and a worm. ,
1056,19st data,
1057,1_th_sampling,
1058,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
1059,A, Let's think step by step. 
1060,Jack can clean a yacht in 12 hours. ,
1061,"On a particular day, he happens to finish two-thirds of the work. ",
1062,That means he finishes 8 hours of work. ,
1063,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
1064,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
1065,It will take her 8/0.6=13.3 hours to finish the work. ,
1066,20st data,
1067,1_th_sampling,
1068,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
1069,A, Let's think step by step. 
1070,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
1071,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
1072,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
1073,21st data,
1074,1_th_sampling,
1075,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
1076,A, Let's think step by step. 
1077,"First, we know that 10% of the staplers were defective. ",
1078,"That means that for every 10 staplers, 1 was defective. ",
1079,We also know that 2% of the non-defective staplers were rejected by mistake. ,
1080,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
1081,We're told that 72 of the non-defective staplers were rejected. ,
1082,That means that there were 72 more staplers rejected than there were defective stapl ,
1083,"Therefore, among A through E, the answer is D. ",
1084,"There were 4,800 staplers produced that day.",
1085,22st data,
1086,1_th_sampling,
1087,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
1088,"The first train, M, will take 4 hours to reach City B. ",
1089,"The second train, N, will take 3.5 hours to reach City A. ",
1090,"Therefore, the two trains will cross one another at 8",30 am. 
1091,23st data,
1092,1_th_sampling,
1093,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
1094,A, The first ant casts a shadow that is 10 inches long. 
1095,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
1096,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
1097,24st data,
1098,1_th_sampling,
1099,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
1100,A, Let's think step by step. 
1101,The store had 600 golf balls in stock. ,
1102,80% of 600 golf balls is 480 golf balls. ,
1103,That means that the store sold 480 golf balls in total. ,
1104,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
1105,That means that it had 360 yellow golf balls to begin the day. ,
1106,25st data,
1107,1_th_sampling,
1108,Q, 900 + 5 × 12 = ? 
1109,A, Let's think step by step. 
1110,900 + 5 × 12 = ,
1111,900 + 5 × (10 + 2) = ,
1112,900 + 5 × 10 + 5 × 2 = ,
1113,900 + 50 + 10 = ,
1114,960 ,
1115,26st data,
1116,1_th_sampling,
1117,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
1118,A, Let's think step by step. 
1119,"Arjun and Sajal are friends, each has some money. ",
1120,We can set up two equations to solve for the amount of money each person has. ,
1121,Arjun + Sajal = x ,
1122,2(x - 30) = 3(x - 10) ,
1123,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
1124,x = 100 ,
1125,Arjun + Sajal = 100 ,
1126,Arjun = 100 - Sajal ,
1127,Now we can plug this value of ,
1128,Arjun = 60 ,
1129,Sajal = 40,
1130,27st data,
1131,1_th_sampling,
1132,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
1133,A, Let's think step by step. 
1134,We know that 27 bottles cost A cents. ,
1135,We want to know how much B bottles will cost in dollars. ,
1136,We can set up a proportion, 
1137,We can cross multiply to solve for x, 
1138,27x = AB ,
1139,x = AB/27 ,
1140,"Since we want the answer in dollars, we will divide AB by 2700", 
1141,x = AB/2700 ,
1142,"Therefore, the answer is (A). ",
1143,28st data,
1144,1_th_sampling,
1145,A, Let's think step by step. 
1146,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
1147,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
1148,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
1149,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
1150,12 pm - The dog eats 1/3 of the food in the bowl ,
1151,"Therefore, among A through E, the answer is closest to D, 35%. ",
1152,29st data,
1153,1_th_sampling,
1154,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
1155,A, Let's think step by step. 
1156,The hotel pays $210 per week for newspapers. ,
1157,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
1158,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
1159,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
1160,$8 + $1 = $9 ,
1161,$9 x 7 = $63 ,
1162,30st data,
1163,1_th_sampling,
1164,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
1165,A, Let's think step by step. 
1166,We know that the probability that stock A will increase in value is 0.56. ,
1167,We also know that the probability that stock B will increase in value is 0.74. ,
1168,We want to find the greatest value for the probability that neither of these two events will occur. ,
1169,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
1170,We can use the AND rule for probability to help us solve this problem. ,
1171,The AND rule for probability states that the probability of two events occurring ,
1172,"Therefore, among A through E, the answer is D. ",
1173,P(A AND B) = P(A) * P(B),
1174,P(A AND B) = 0.,
1175,31st data,
1176,1_th_sampling,
1177,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
1178,A, Let's think step by step. 
1179,There are 10 oranges in the basket. ,
1180,You want to choose 2 oranges. ,
1181,How many ways can you choose the first orange? ,
1182,There are 10 ways. ,
1183,How many ways can you choose the second orange? ,
1184,There are 9 ways. ,
1185,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
1186,Answer, (B) 90 
1187,32st data,
1188,1_th_sampling,
1189,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
1190,A, Let's think step by step. 
1191,There are 20 white marbles in the bag. ,
1192,"We pull them out, paint them black, and put them back in. ",
1193,"Now, the bag has 20 black marbles and 20 white marbles. ",
1194,"We pull out 20 marbles again, and this time 1 of them is black. ",
1195,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
1196,"Now, we want to know how many marbles are in the bag in total. ",
1197,We can set up the following equation, 
1198,(% black marbles pulled out ,
1199,"Therefore, among A through E, the answer is D. ",
1200,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
1201,A, Let's think step by step. 
1202,There are more than 501 students in the school. ,
1203,20% of them exactly took physics. ,
1204,28% of them exactly took math. ,
1205,We can write this as, 
1206,There are more than 501 students in the school. ,
1207,There are more than 100 students who took physics. ,
1208,There are more than 140 students who took math. ,
1209,We want to find the least possible number of students in the school. ,
1210,The least possible number of students in the school is 241. ,
1211,2st data,
1212,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
1213,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
1214,We can write this out as, 
1215,-50 + (-49) + ... + k = 51 ,
1216,We can solve this equation for k, 
1217,k = 102 ,
1218,3st data,
1219,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
1220,A, Let's think step by step. 
1221,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
1222,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
1223,4st data,
1224,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
1225,A, Let's think step by step. 
1226,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
1227,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
1228,"Now, we need to calculate the total amount of interest that accrues over the life ",
1229,5st data,
1230,1_th_sampling,
1231,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
1232,A, Let's think step by step. 
1233,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
1234,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
1235,There are 5 registered voters in total. ,
1236,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
1237,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
1238,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
1239,6st data,
1240,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
1241,A, Let's think step by step. 
1242,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
1243,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
1244,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
1245,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
1246,"Therefore, the answer is 26. ",
1247,7st data,
1248,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
1249,A, Let's think step by step. 
1250,The cost of new tires is $180 per tire. ,
1251,The cost of repairing the current tires is $40 per tire. ,
1252,The difference in cost is $180 - $40 = $140. ,
1253,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
1254,$140/$40 = 3.5 ,
1255,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
1256,8st data,
1257,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
1258,A, Let's think step by step. 
1259,Anna is able to buy 5 more articles for $300. ,
1260,That means that the 5 articles cost $60 each. ,
1261,The price of each article decreased by 15%. ,
1262,That means that the original price of each article was $70. ,
1263,$70 - $60 = $10 ,
1264,The new selling price of each article is $10. ,
1265,9st data,
1266,A, Let's think step by step. 
1267,The first car will travel 15 miles in 15/55 hours. ,
1268,The second car will travel 15 miles in 15/52 hours. ,
1269,Now we need to compare the two times. ,
1270,15/55 = 0.2727272727272727 ,
1271,15/52 = 0.28846153846153846 ,
1272,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
1273,10st data,
1274,1_th_sampling,
1275,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
1276,A, Let's think step by step. 
1277,The grocery sells a bag of ice for $1.25. ,
1278,This means that the grocery buys the bag of ice for $1. ,
1279,The grocery makes 20% profit. ,
1280,This means that the grocery's profit is $0.20. ,
1281,The grocery sells 500 bags of ice. ,
1282,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
1283,11st data,
1284,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
1285,A, Let's think step by step. 
1286,The car is currently travelling at 60 km/hr. ,
1287,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
1288,"Therefore, the car would need to gain 300 km/hr. ",
1289,12st data,
1290,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
1291,A, Let's think step by step. 
1292,There are 10 different types of books. ,
1293,That means we need at least 10 different codes. ,
1294,The codes can be either a single letter or a pair of two different letters. ,
1295,That means the maximum number of codes we would need is 20. ,
1296,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
1297,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
1298,The minimum number of codes we could use is 3. ,
1299,13st data,
1300,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
1301,A, Let's think step by step. 
1302,Q is as much younger than R as he is older than T. ,
1303,Q is younger than R by x years. ,
1304,Q is older than T by x years. ,
1305,Now we have two equations and two unknowns. We can solve for x. ,
1306,R + T = 50 ,
1307,R - Q = x ,
1308,T - Q = x ,
1309,R + T = 50 ,
1310,R - T = -x ,
1311,2T = 50 - x ,
1312,T = 25 - (1/2)x ,
1313,14st data,
1314,A, Let's think step by step. 
1315,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
1316,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
1317,2/5sp = h ,
1318,"We also know that the width is 50 cm, so we can set up another equation", 
1319,w = 50 ,
1320,15st data,
1321,1_th_sampling,
1322,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
1323,A, Let's think step by step. 
1324,"C's share is 150,000. ",
1325,"The total profit is 375,000. ",
1326,"That means B's share is 375,000 - 150,000 = 225,000. ",
1327,"Now we know that B's share is 60,000 more than A's share. ",
1328,"That means A's share is 225,000 - 60,000 = 165,000. ",
1329,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
1330,That means the total profit is 165% of ,
1331,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
1332,16st data,
1333,1_th_sampling,
1334,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
1335,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
1336,17st data,
1337,1_th_sampling,
1338,A, Let's think step by step. 
1339,The athlete runs M miles in 4 hours. ,
1340,That's an average speed of M/4 miles per hour. ,
1341,The athlete rides a bike N miles in the same number of hours. ,
1342,That's an average speed of N/4 miles per hour. ,
1343,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
1344,(M/4) + (N/4) = (M + N)/8,
1345,18st data,
1346,1_th_sampling,
1347,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
1348,A, Let's think step by step. 
1349,There are a total of 250 files. ,
1350,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
1351,This means that the number of files that are infected only by a worm is 125. ,
1352,125 + 125 = 250 ,
1353,This means that all of Sam's files are infected by either a virus or a worm or both. ,
1354,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
1355,125 files are infected by both a virus and a worm. ,
1356,19st data,
1357,1_th_sampling,
1358,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
1359,A, Let's think step by step. 
1360,Jack can clean a yacht in 12 hours. ,
1361,"On a particular day, he happens to finish two-thirds of the work. ",
1362,That means he finishes 8 hours of work. ,
1363,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
1364,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
1365,It will take her 8/0.6=13.3 hours to finish the work. ,
1366,20st data,
1367,1_th_sampling,
1368,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
1369,A, Let's think step by step. 
1370,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
1371,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
1372,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
1373,21st data,
1374,1_th_sampling,
1375,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
1376,A, Let's think step by step. 
1377,"First, we know that 10% of the staplers were defective. ",
1378,"That means that for every 10 staplers, 1 was defective. ",
1379,We also know that 2% of the non-defective staplers were rejected by mistake. ,
1380,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
1381,We're told that 72 of the non-defective staplers were rejected. ,
1382,That means that there were 72 more staplers rejected than there were defective stapl ,
1383,"Therefore, among A through E, the answer is D. ",
1384,"There were 4,800 staplers produced that day.",
1385,22st data,
1386,1_th_sampling,
1387,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
1388,"The first train, M, will take 4 hours to reach City B. ",
1389,"The second train, N, will take 3.5 hours to reach City A. ",
1390,"Therefore, the two trains will cross one another at 8",30 am. 
1391,23st data,
1392,1_th_sampling,
1393,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
1394,A, The first ant casts a shadow that is 10 inches long. 
1395,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
1396,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
1397,24st data,
1398,1_th_sampling,
1399,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
1400,A, Let's think step by step. 
1401,The store had 600 golf balls in stock. ,
1402,80% of 600 golf balls is 480 golf balls. ,
1403,That means that the store sold 480 golf balls in total. ,
1404,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
1405,That means that it had 360 yellow golf balls to begin the day. ,
1406,25st data,
1407,1_th_sampling,
1408,Q, 900 + 5 × 12 = ? 
1409,A, Let's think step by step. 
1410,900 + 5 × 12 = ,
1411,900 + 5 × (10 + 2) = ,
1412,900 + 5 × 10 + 5 × 2 = ,
1413,900 + 50 + 10 = ,
1414,960 ,
1415,26st data,
1416,1_th_sampling,
1417,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
1418,A, Let's think step by step. 
1419,"Arjun and Sajal are friends, each has some money. ",
1420,We can set up two equations to solve for the amount of money each person has. ,
1421,Arjun + Sajal = x ,
1422,2(x - 30) = 3(x - 10) ,
1423,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
1424,x = 100 ,
1425,Arjun + Sajal = 100 ,
1426,Arjun = 100 - Sajal ,
1427,Now we can plug this value of ,
1428,Arjun = 60 ,
1429,Sajal = 40,
1430,27st data,
1431,1_th_sampling,
1432,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
1433,A, Let's think step by step. 
1434,We know that 27 bottles cost A cents. ,
1435,We want to know how much B bottles will cost in dollars. ,
1436,We can set up a proportion, 
1437,We can cross multiply to solve for x, 
1438,27x = AB ,
1439,x = AB/27 ,
1440,"Since we want the answer in dollars, we will divide AB by 2700", 
1441,x = AB/2700 ,
1442,"Therefore, the answer is (A). ",
1443,28st data,
1444,1_th_sampling,
1445,A, Let's think step by step. 
1446,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
1447,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
1448,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
1449,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
1450,12 pm - The dog eats 1/3 of the food in the bowl ,
1451,"Therefore, among A through E, the answer is closest to D, 35%. ",
1452,29st data,
1453,1_th_sampling,
1454,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
1455,A, Let's think step by step. 
1456,The hotel pays $210 per week for newspapers. ,
1457,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
1458,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
1459,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
1460,$8 + $1 = $9 ,
1461,$9 x 7 = $63 ,
1462,30st data,
1463,1_th_sampling,
1464,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
1465,A, Let's think step by step. 
1466,We know that the probability that stock A will increase in value is 0.56. ,
1467,We also know that the probability that stock B will increase in value is 0.74. ,
1468,We want to find the greatest value for the probability that neither of these two events will occur. ,
1469,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
1470,We can use the AND rule for probability to help us solve this problem. ,
1471,The AND rule for probability states that the probability of two events occurring ,
1472,"Therefore, among A through E, the answer is D. ",
1473,P(A AND B) = P(A) * P(B),
1474,P(A AND B) = 0.,
1475,31st data,
1476,1_th_sampling,
1477,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
1478,A, Let's think step by step. 
1479,There are 10 oranges in the basket. ,
1480,You want to choose 2 oranges. ,
1481,How many ways can you choose the first orange? ,
1482,There are 10 ways. ,
1483,How many ways can you choose the second orange? ,
1484,There are 9 ways. ,
1485,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
1486,Answer, (B) 90 
1487,32st data,
1488,1_th_sampling,
1489,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
1490,A, Let's think step by step. 
1491,There are 20 white marbles in the bag. ,
1492,"We pull them out, paint them black, and put them back in. ",
1493,"Now, the bag has 20 black marbles and 20 white marbles. ",
1494,"We pull out 20 marbles again, and this time 1 of them is black. ",
1495,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
1496,"Now, we want to know how many marbles are in the bag in total. ",
1497,We can set up the following equation, 
1498,(% black marbles pulled out ,
1499,"Therefore, among A through E, the answer is D. ",
1500,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
1501,A, Let's think step by step. 
1502,There are more than 501 students in the school. ,
1503,20% of them exactly took physics. ,
1504,28% of them exactly took math. ,
1505,We can write this as, 
1506,There are more than 501 students in the school. ,
1507,There are more than 100 students who took physics. ,
1508,There are more than 140 students who took math. ,
1509,We want to find the least possible number of students in the school. ,
1510,The least possible number of students in the school is 241. ,
1511,2st data,
1512,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
1513,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
1514,We can write this out as, 
1515,-50 + (-49) + ... + k = 51 ,
1516,We can solve this equation for k, 
1517,k = 102 ,
1518,3st data,
1519,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
1520,A, Let's think step by step. 
1521,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
1522,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
1523,4st data,
1524,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
1525,A, Let's think step by step. 
1526,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
1527,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
1528,"Now, we need to calculate the total amount of interest that accrues over the life ",
1529,5st data,
1530,1_th_sampling,
1531,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
1532,A, Let's think step by step. 
1533,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
1534,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
1535,There are 5 registered voters in total. ,
1536,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
1537,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
1538,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
1539,6st data,
1540,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
1541,A, Let's think step by step. 
1542,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
1543,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
1544,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
